place	lemma_andersen	explanation	year	years	volumes	work	page	occurrences	references	confidence	evidence	geo_id
Stige	Stige	landsby i Lumby sogn nord for Odense ved Odense Kanal, der fungerede som byens ladeplads og udskibningssted; jf. Levnedsbog s. 26.	1829	1829	14	Brudstykke af en Udflugt i Sommeren 1829	52	1	v14:52 (1829)	high	head-noun+located+place-type	
Stolt bygged’ … Banke	Stolt bygged’ … Banke	Næsbyhoved borgbanke nær Odense Havn blev antagelig anlagt i 1100-tallet, der findes spor af bebyggelse fra omkring 1340 og befæstningsanlæg fra omkring 1370; slottet på banken blev ødelagt i 1534 under Grevens Fejde, og de sidste bygninger blev revet ned i 1764.			8	(untitled)	441	1	v8:441 ()	medium	located+place-type	
stora Kopparberget	stora Kopparberget	(svensk) det store kobberbjerg.	1851	1851	15	I Sverrig	108	1	v15:108 (1851)	high	head-noun+place-type	
Stormfloden	Stormfloden	den største stormflodskatastrofe i nyere tid i Danmark fandt sted den 12.-14. november 1872, hvor store dele af Lolland og Falster blev oversvømmet, 80 mennesker omkom og 50 skibe strandede på Sjællands østkyst.	1872	1872	9	Berlingske politiske og Avertissements-Tidende	555	1	v9:555 (1872)	medium	located	
Stormfloden 1825	Stormfloden 1825	stormfloden i februar 1825, som især ramte Halligerne og Föhr hårdt.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	291	1	v17:291 (1855)	high	head-noun+place-type	
Strada Balbi	Strada Balbi	hovedgade i Genova.	1851	1851	15	I Sverrig	58	1	v15:58 (1851)	high	head-noun+located+place-type	
Stranden	Stranden	havet.	1864	1864	13	Paa Langebrovar tidligst anlagt et stykke nordligere end den nuværende Langebro; den lå i linje med byens vold i sydvest, i forlængelse af den nuværende Langebrogade på Christianshavn, og førte over Kalvebodsstrømmen til Christians Brygge.Langebro	339	1	v13:339 (1864)	high	head-noun+place-type	
Stromboli	Stromboli	vulkanø i øgruppen de Lipariske Øer nord for Sicilien; se kort. ¶ aktiv vulkanø i den italienske øgruppe De Lipariske Øer nord for Sicilien.	1842	1842 1855	14 17	En Digters Bazar	354	2	v14:354 (1842); v17:215 (1855)	high	in-register+se-kort+located+place-type	geo-10376243
Stævns Klint … Kirke	Stævns Klint … Kirke	der tænkes på Højerup Kirke fra 1200 i Stevns Herred, som længe var truet af nedstyrtning på grund af havets udhuling af klinten. Et sagn fortæller dog, at dette ikke vil ske, da kirken »hver Julenat hopper ... et Hanefjed længer ind i Landet«, Thiele 1, 1, 83.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	68	1	v14:68 (1831)	medium	located+place-type	
Stör	Flod	Stör, en biflod til Elben.	1842	1842	14	En Digters Bazar	222	1	v14:222 (1842)	medium	located+place-type	
Støren	Støren	floden Stör.	1842	1842	14	En Digters Bazar	223	1	v14:223 (1842)	high	head-noun+place-type	
Støtten … Buonaparte	Støtten … Buonaparte	den ca. 43 m høje Vendôme-søjle på Place Vendôme, rejst 1806-1810 som sejrsmonument for Napoleon 1.s (Napoléon Bonapartes) felttog 1805 og støbt af 1200 erobrede kanoner.	1851	1851	13	HyldemoerH.C. Andersen skriver i de »Bemærkninger«, som afsluttede <i>Eventyr og Historier. Andet Bind</i>, 1863 (BFN 974), at kimen til eventyret »Hyldemoer« »ligger i det af <i>Thiele</i> fortalte Sagn: »Der boer i Hyldetræet et Væsen, som kaldes Hyldemo’er, eller Hyldeqvind. Hun hevner al Overlast, der tilføies Træet ... ««(jf. denne udgaves bd. 3, s. 372 samt Thiele 2, 2, s. 282 ff.).Hyldemoer	109	1	v13:109 (1851)	medium	located	
Sulitelma, Øens Øie	Sulitelma, Øens Øie	højfjeldsmassiv i Lappland ved grænsen mellem Sverige og Norge. Det samiske navn er blevet oversat med såvel øens øje som øens tærskel og solens øje. Se kort 1.	1851	1851	15	I Sverrig	13	1	v15:13 (1851)	high	se-kort	
Sumen	Schumla	Sumen, nu Kolarovgrad (se kort). Tyrkernes hovedkvarter,ˇ hvorfra de standsede den russiske fremrykning flere gange, således i 1828; i 1829 lykkedes det imidlertid Diebitsch at gå udenom.	1842	1842	14	En Digters Bazar	518	1	v14:518 (1842)	high	se-kort	
Sundet	Sundet	Øresund.	1851	1851	15	I Sverrig	124	1	v15:124 (1851)	high	head-noun+place-type	
Suniums Ruiner	Suniums Ruiner	på Kabo Kolones, i dag Sunio, Attikas sydøstligste forbjerg (se kort), ligger ruiner af bygninger fra 500-tallet f.Kr. og af en Poseidon-helligdom fra 400-tallet f.Kr. samt af en Athena- og en Frontis-helligdom.	1842	1842	14	En Digters Bazar	432	1	v14:432 (1842)	high	se-kort+place-type	
Svensken ligger for Kjøbenhavn	Svensken ligger for Kjøbenhavn	København blev belejret fra den 11. august 1658. Natten mellem den 10. og 11. februar 1659 stormede svenskerne byen, men blev slået tilbage.	1868	1868	3	Gudfaders Billedbog	181	1	v3:181 (1868)	high	head-noun+place-type	
Svindinge	Svindinge	sogn på Fyn nær Storebælt i det, der dengang var Gudme herred.	1849	1849	5	De to Baronesser	302	1	v5:302 (1849)	high	head-noun+located+place-type	
Svisjtov	Sistowa	Svisjtov; se kort.	1842	1842	14	En Digters Bazar	514	1	v14:514 (1842)	high	se-kort	
Svärdsjö	Svardsjø	Svärdsjö; se kort 2.	1851	1851	15	I Sverrig	93	1	v15:93 (1851)	high	se-kort	
Sybiller	Sybiller	sibyller, spåkvinder; Rafaels sibyller i Santa Maria della Pace er fra 1514.	1837	1837	5	Kun en Spillemand	262	1	v5:262 (1837)	medium	located	
Sydlands-Ø	Sydlands-Ø	fjerntliggende ø langt mod syd.	1830	1830	7	Digte	136	1	v7:136 (1830)	high	head-noun+place-type	
Sydspids	Sydspids	Punta Marroqui ved Tarifa er dog sydligere, se kort.	1863	1863	15	I Spanien	326	1	v15:326 (1863)	high	se-kort	
Sylt	Sylt	øen Sild.	1849	1849	5	De to Baronesser	388	1	v5:388 (1849)	high	head-noun+place-type	
Syra	Syra | Syra(s)	Siros (Syros), en del af øgruppen Kykladerne i det Ægæiske Hav; se kort. ¶ Syros (Siros); se kort. ¶ Syros (Siros), en del af øgruppen Kykladerne i det Ægæiske Hav; se kort.	1842	1842	14	En Digters Bazar	351	3	v14:351 (1842); v14:378 (1842); v14:438 (1842)	high	se-kort+place-type	
Sälens By	Sälens By	se kort 2.	1851	1851	15	I Sverrig	94	1	v15:94 (1851)	high	se-kort	
Särna	Sernasogn	Särna; se kort 2.	1851	1851	15	I Sverrig	117	1	v15:117 (1851)	high	se-kort	
Säter	Säther	Säter; se kort 2.	1851	1851	15	I Sverrig	110	1	v15:110 (1851)	high	se-kort	
Säterdalen	Sæther-Dalen	Säterdalen; snæver v-formet dal med rig natur mellem byen Säter og Dalälven. Se kort 2.	1851	1851	15	I Sverrig	81	1	v15:81 (1851)	high	se-kort+place-type	
Sète	Cette	Sète, fransk by ved Middelhavet, som H.C. Andersen passerede på rejsen mod Spanien.	1863	1863	15	I Spanien	353	1	v15:353 (1863)	medium	located+place-type	
Sölleröd	Sölleröd	Ingeborg og Adolph Drewsen blev gift i Søllerød 18. oktober 1826.			8	(untitled)	183	1	v8:183 ()	high	head-noun+place-type	
Sø	Sø	hav.	1836	1836 1837	1 4 8	O. T.	457	3	v4:457 (1836); v1:156 (1837); v8:418 ()	high	head-noun+place-type	
Søe	Søe	hav.	1846	1846	16	Mit eget Eventyr uden Digtning	193	1	v16:193 (1846)	high	head-noun+place-type	
Søen	Søen	havet.	1838	1838 1842 1855	1 14 17	De vilde Svaner	197	3	v1:197 (1838); v14:432 (1842); v17:129 (1855)	high	head-noun+place-type	
Søen … Søemandskunsten	Søen … Søemandskunsten	ifølge traditionen skal Christian 4. som dreng have lært at sejle på Skanderborg Sø i et specialbygget skib. Informationen kendes dog kun fra én samtidig kilde, hofprædikant Laurits Jacobsens ligprædiken over Christian 4., og det er usikkert, om den er sand.	1832	1832	16	Levnedsbog	160	1	v16:160 (1832)	medium	located+place-type	
Sørgemarschen	Sørgemarschen	Hartmann komponerede Sørgemarch ved Thorvaldsens Bisættelse, 1844.			8	Af	242	1	v8:242 ()	medium	located	
Søvngjængersken	Søvngjængersken	Vicenzo Bellinis La sonnambula, 1831 (dansk Søvngængersken, 1864), hvori Jenny Lind i 1842-1843 havde udført Amines parti; hun fik dog ikke lejlighed til at synge den rolle i København.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	274	1	v17:274 (1855)	medium	located	
Tajo	Tajo(s) | Tajo	floden Tajo udspringer i Spanien og udmunder i Portugal. ¶ flod, der udspringer i Østspanien og munder ud i Atlanterhavet ved Lissabon.	1863	1863	8 15	I Spanien	393	2	v15:393 (1863); v8:342 ()	high	head-noun+place-type+located	
Tanger	Tanger	se kort.	1863	1863	15	I Spanien	327	1	v15:327 (1863)	high	se-kort	
Tanker i vingede … Hauch	Tanker i vingede … Hauch	fantasiens første replik i Carsten Hauchs »Søfarten« i Athene, december, 1816; hvor H.C. Andersen skriver »Flugt, jeg skimter« og »ned!«, har Hauch »Flugt jeg skimter,« og »hen.«.	1831	1831	7	Phantasier og Skizzer	270	1	v7:270 (1831)	medium	located	
Taormina	Taormina	se kort.	1842	1842	14	En Digters Bazar	358	1	v14:358 (1842)	high	in-register+se-kort	geo-2522975
Taterqvinden Langemargrethe	Taterqvinden Langemargrethe	den historiske Langemargrethe, Anne Margrethe Sørensdatter, døde i Viborg Tugthus. Det lokalsagn fra Nørre-Wosborg, som H.C. Andersen hentyder til, er ikke den virkelige Langemargrethe, men er optegnet af den engelske rejsende Horace Marryat, der samtidig med H.C. Andersen besøgte gården (17. juli 1859), i hans bog A Residence in Jutland, the Danish Isles, and Copenhagen, II, 1860, s. 200-202. H.C. Andersens version af historien genfindes i Evald Tang Kristensen Danske Sagn, 1. Række IV, 1896, nr. 1588.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	211	1	v18:211 (1869)	medium	located+place-type	
Tatra, Fatra, Matra	Tatra, Fatra, Matra	bjergkæder i Ungarn og nuværende Slovakiet.	1842	1842	14	En Digters Bazar	555	1	v14:555 (1842)	medium	located	
Teatro Alibert	Teatro Alibert	bygget i begyndelsen af 1700-tallet på Via Margutta og nedbrændt i 1863. Det var det største teater i Rom i sin tid og berømt bl.a. for sine karnevalsballer.	1842	1842	14	En Digters Bazar	335	1	v14:335 (1842)	high	in-register	place-000058
Tenedos	Tenedos	ø ud for Troja (tyrkisk Bozcaada); se kort over Tyrkiet. I Iliaden gemmer den græske flåde sig bag øen, for at få trojanerne til at tro, de er flygtet.	1842	1842	14	En Digters Bazar	444	1	v14:444 (1842)	high	se-kort+head-noun+place-type	
Terni	Terni	by 50 km nord for Nepi. ¶ se kort.	1835	1835 1842	4 14	Improvisatoren	309	2	v4:309 (1835); v14:281 (1842)	high	in-register+head-noun+located+place-type+se-kort	geo-3165771
Terni for at see Vandfaldet	Terni for at see Vandfaldet	byen Terni ligger 75 km nord for Rom, anlagt i oldtiden ved floden Nera 6 km neden for det 360 m høje vandfald Cascata delle Marmore.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	132	1	v17:132 (1855)	high	head-noun+place-type	
Terracina	Terracina | Terracina(s) | Terrazina	kystby ca. 125 km nord for Napoli. ¶ kystby midtvejs mellem Rom og Napoli ved det Tyrrhenske Hav; se kort. ¶ italiensk by ved kysten syd for Rom; se kort. ¶ se kort. ¶ italiensk kystby syd for Napoli. ¶ Terracina; kystby 90 km sydøst for Rom.	1835	1835 1842 1855 1868	4 14 15 17	Improvisatoren	196	6	v4:196 (1835); v14:200 (1835); v14:228 (1842); v14:339 (1842); v17:151 (1855); v15:423 (1868)	high	in-register+head-noun+located+place-type+se-kort	geo-3165762
Teufelsbrücke	Teufelsbrücke	(tysk) djævlebroen.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	156	1	v14:156 (1831)	high	in-register	place-000040
Thalatta, Thalatta	Thalatta, Thalatta	(græsk) havet, havet; citat fra den oldgræske forfatter Xenofon fra Athens krigsreportage Anabasis (marchen ind i landet), IV,7,24 (dansk 1929).	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	87	1	v17:87 (1855)	high	head-noun+place-type	
Tharandt	Tharand	Tharandt; se kort.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	167	1	v14:167 (1831)	high	se-kort	
The Thames	Temsen	The Thames, Themsen; engelsk flod, der løber gennem London.	1840	1840	9	Billedbog uden Billederjf. den tyske komponist Felix Mendelssohn-Bartholdys (1809-1847) klaverstykker <i>Lieder ohne Worte</i>, 1829-1845 (sange uden ord).Billedbog uden Billeder	392	1	v9:392 (1840)	medium	located+place-type	
Theben	Theben | Theben (stod i Flammer)	daværende grænseby; se kort. ¶ daværende grænseby.	1842	1842 1855	14 17	En Digters Bazar	562	2	v14:562 (1842); v17:223 (1855)	high	se-kort+head-noun+place-type	
Therapia	Therapia	by på Bosporusstrædets vestbred, ca. 30 km nord for Istanbul; se kort.	1842	1842	14	En Digters Bazar	493	1	v14:493 (1842)	high	se-kort+head-noun+located+place-type	
Thorvaldsens Museum	Museet	Thorvaldsens Museum, tegnet af M.G.B. Bindesbøll og opført 1839-1848.			8	Af	239	1	v8:239 ()	high	in-register	
Thorwaldsen … Nysøe	Thorwaldsen … Nysøe	hovedgård 1 km sydvest for Præstø, hvor Thorvaldsen havde et lille atelier.	1846	1846	16	Mit eget Eventyr uden Digtning	263	1	v16:263 (1846)	high	head-noun+located+place-type	
Tiberen	Tiberen(s)	flod, der løber gennem Rom.	1863	1863	15	I Spanien	371	1	v15:371 (1863)	high	head-noun+located+place-type	
Tidslen saae han mod Guds Sol sig bøie	Tidslen saae han mod Guds Sol sig bøie	måske hentydning til H.A. Brorsons (som var bror til C.F. Brorsons farfar) »Den yndigste rose er funden«, hvor syvende strofe lyder: »Forhærdede tidselgemøtter, / Saa stive som torne og støtter, / Hvi holde I eder saa ranke / I stoltheds fordervede tanke?«.			8	(untitled)	65	1	v8:65 ()	medium	located	
Til San Peder de Cordoña	Til San Peder de Cordoña	oversat fra Oskar 2. nr. 68 s. 391, jf. Der Cid s. 245. Cid blev begravet i klosteret San Pedro de Cardeña ved Burgos (se kort), jf. s. 210.	1863	1863	15	I Spanien	247	1	v15:247 (1863)	high	se-kort	
Tilsigelse til Taffelet paa Jagtslottet Stärnberg	Tilsigelse til Taffelet paa Jagtslottet Stärnberg	19. juni 1852 var H.C. Andersen Maximilian 2.s gæst på jagtslottet i Berg ved Starnbergersøen.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	139	1	v18:139 (1869)	medium	located+place-type	
Timok	En lille Flod	Timok; se kort.	1842	1842	14	En Digters Bazar	520	1	v14:520 (1842)	high	se-kort	
Tinos	Tenos, Delos, Naxos og Toppen af Andros | Tenos	Tinos, Dilos, Naxos, Andros se kort. ¶ Tinos; se kort.	1842	1842	14	En Digters Bazar	380	2	v14:380 (1842); v14:438 (1842)	high	se-kort	
Tivoli	Tivoli	forlystelsespark anlagt på initiativ af Georg Carstensen i 1843. ¶ by øst for Rom ved foden af Sabinerbjergene. ¶ lille by 26 km øst for Rom med berømt vandfald og mange springvand (italiensk: cascade). ¶ grundlagt af Georg Carstensen i 1843. ¶ grundlagt 1843 af Georg Carstensen. ¶ forlystelsesetablissementet Tivoli-Vauxhall ved Paris. ¶ se kort. ¶ lille by 26 km øst for Rom med berømt vandfald og mange springvand.	1831	1831 1835 1837 1845 1846 1855 1870 1872	3 4 5 8 12 14 15 17	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	176	9	v14:176 (1831); v4:296 (1835); v5:261 (1837); v12:138 (1845); v12:177 (1846); v17:140 (1855); v15:491 (1870); v3:323 (1872); v8:273 ()	high	in-register+head-noun+located+place-type+se-kort	geo-3165624
Tjeneste	Tjeneste	plads.	1849	1849	12	Meer end Perler og Guld	471	1	v12:471 (1849)	high	head-noun+place-type	
to Floder	to Floder	Donau og Prut; se kort.	1842	1842	14	En Digters Bazar	504	1	v14:504 (1842)	high	se-kort	
Toboso	Toboso	lille by ca. 20 km nordøst for Alcazar de San Juan, berømt som hjembyen for Don Quixotes elskede, Dulzinea.	1863	1863	15	I Spanien	379	1	v15:379 (1863)	high	head-noun+located+place-type	
Toby	Toby	Tobby Wilson i Henrik Hertz’ skuespil De Deporterede, 21. februar 1853.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	325	1	v18:325 (1869)	high	head-noun+place-type	
Tolderlund	Tolderlund	herregård nord for Odense, som oprindeligt tilhørte Oluf Bagger, ejedes af Kirstine Marie Iversen, f. Nielsen (1767-1837), enke efter bogtrykker, boghandler og udgiver af Fyens Stifts Journal Christian Henrik Iversen (1748-1827). Nyerup citerer Frederiks 2.s gavebrev på Tolderlund (oprindelig Tollelund) med tilliggende jorder. ¶ landstedet Marieshøj (Tolderlund) ved kanalen nord for Odense. Tolderlund betegnede tidligere et større landområde, der 13. december 1564 blev skænket Oluf Bager af Frederik 2. Efter Oluf Bagers død 1602 solgtes hans landområder, og den sidste, der ejede det oprindelige Tolderlund udelt, var forfatteren Elias Naur. Siden opsplittedes ejendommen og solgtes stykvist. Landstedet Marieshøj opførtes 1786 (ombygget 1802-1803) på disse jorder.	1829	1829 1832	14 16	Brudstykke af en Udflugt i Sommeren 1829	60	3	v14:60 (1829); v16:115 (1832); v16:160 (1832)	high	head-noun+located+place-type	
Toledo	Toledo	se kort. H.C. Andersen opholdt sig her 2.-7. december 1862.	1863	1863	15	I Spanien	393	1	v15:393 (1863)	high	se-kort	
Toledogade	Toledogade	berygtet gade i Napoli.	1835	1835	4	Improvisatoren	283	1	v4:283 (1835)	medium	located+place-type	
Tophana	Topschana	Tophana, bydel ca. 4 km øst for Pera.	1842	1842	14	En Digters Bazar	461	1	v14:461 (1842)	medium	located+place-type	
Topschana	Topschana	eller Tophane, forstad ca. 4 km øst for Pera.	1842	1842	14	En Digters Bazar	490	1	v14:490 (1842)	medium	located+place-type	
Torpa	Torpa	gods i Länghem sogn, Västergötland, som tilhørte Stenbock-slægten.	1851	1851	15	I Sverrig	43	1	v15:43 (1851)	high	head-noun+located+place-type	
Torquato Tasso, Lucrezia Borgia	Torquato Tasso, Lucrezia Borgia	operaer fra 1833 af Donizetti; Lucrezia Borgia spillede på Det Kgl. Teater 1859.	1842	1842	14	En Digters Bazar	568	1	v14:568 (1842)	medium	located	
Toulon … Napoleon den Store	Toulon … Napoleon den Store	den franske Middelhavsby Toulon, øst for Marseille, blev i 1793 besat af den engelsk-franske hær, men blev generobret af revolutionære tropper anført af den unge kaptajn Napoléon Bonaparte, den senere Napoleon 1.	1831	1831	7	Phantasier og Skizzer	230	1	v7:230 (1831)	high	head-noun+place-type	
Traad under Verdenshavet	Traad under Verdenshavet	det første længere søkabel blev nedlagt mellem Dover og Calais, og i 1866 etableredes forbindelse over Atlanten.	1853	1853	2	Nissen hos Spekhøker(en)Spekhøkeren	72	1	v2:72 (1853)	medium	located	
Trafalgar	Trafalgar(s)	Kap Trafalgar ved den spanske atlanterhavskyst lidt nord for Gibraltarstrædet.			8	(untitled)	337	1	v8:337 ()	medium	located	
Trafalgar-Bugten	Trafalgar-Bugten	ud for Cabo (Kap) Trafalgar, se kort.	1863	1863	15	I Spanien	334	1	v15:334 (1863)	high	se-kort	
Trajans By	Trajans By	byen er dog ikke identisk med Nikopolis ad Istrum, som Trajan (53-117, romersk kejser fra 98) grundlagde til minde om sejren over dakerne (folkeslag i nuværende Rumænien) 106 e.Kr.	1842	1842	14	En Digters Bazar	514	1	v14:514 (1842)	high	head-noun+place-type	
Trajans Muur	Trajans Muur	Trajanvolden er et fæstningsværk, som strækker sig fra Donau ved det nuværende Cernavoda˘ i Rumænien til Sortehavet; opført af Trajan, romersk kejser 98-117.	1842	1842	14	En Digters Bazar	501	1	v14:501 (1842)	medium	located	
